#{"t_start": 1761863674.2271237, "env_id": "None"}
r,l,t,winner,reason
1.0,12,24.731882,2,capture
1.0,12,24.75099,2,capture
1.0,25,24.791102,2,capture
1.0,30,24.839346,2,capture
1.0,17,24.866552,2,capture
1.0,15,24.890571,2,capture
1.0,24,24.928933,2,capture
1.0,17,24.956055,2,capture
1.0,20,24.987954,2,capture
1.0,25,25.028687,2,capture
1.0,23,25.065487,2,capture
1.0,21,25.098868,2,capture
1.0,22,25.133846,2,capture
1.0,21,25.1675,2,capture
1.0,21,25.200907,2,capture
1.0,23,25.237557,2,capture
1.0,17,25.264723,2,capture
1.0,23,25.30157,2,capture
1.0,20,25.33343,2,capture
1.0,11,25.351081,2,capture
1.0,19,25.381419,2,capture
1.0,17,25.408454,2,capture
1.0,13,25.429723,2,capture
1.0,26,25.471474,2,capture
1.0,30,25.519595,2,capture
1.0,14,25.541899,2,capture
-1.0,19,25.572229,1,block
1.0,17,25.599253,2,capture
1.0,19,25.629445,2,capture
1.0,35,25.68577,2,capture
1.0,16,25.711267,2,capture
1.0,27,25.754479,2,capture
1.0,36,25.812309,2,capture
1.0,18,25.8408,2,capture
1.0,25,25.880846,2,capture
1.0,30,25.929465,2,capture
1.0,18,25.958695,2,capture
1.0,16,25.984138,2,capture
1.0,19,26.014309,2,capture
1.0,23,26.050931,2,capture
1.0,25,26.090805,2,capture
1.0,20,27.267611,2,capture
1.0,38,27.331626,2,capture
1.0,24,27.370161,2,capture
1.0,12,27.389374,2,capture
1.0,22,27.424695,2,capture
1.0,21,27.458348,2,capture
1.0,10,27.47437,2,capture
1.0,14,27.496696,2,capture
1.0,20,27.528742,2,capture
1.0,14,27.551116,2,capture
1.0,19,27.581565,2,capture
1.0,20,27.613343,2,capture
1.0,29,27.660254,2,capture
1.0,18,27.689041,2,capture
1.0,24,27.72796,2,capture
1.0,18,27.756536,2,capture
1.0,22,27.791827,2,capture
1.0,19,27.822103,2,capture
1.0,28,27.869617,2,capture
1.0,27,27.91359,2,capture
1.0,19,27.944087,2,capture
1.0,18,27.973339,2,capture
1.0,26,28.015175,2,capture
1.0,24,28.053838,2,capture
1.0,19,28.085079,2,capture
1.0,19,28.115945,2,capture
1.0,16,28.141833,2,capture
1.0,19,28.172482,2,capture
1.0,23,28.20983,2,capture
1.0,19,28.240173,2,capture
1.0,15,28.264358,2,capture
1.0,19,28.294867,2,capture
1.0,17,28.322428,2,capture
1.0,38,28.385184,2,capture
1.0,20,28.417578,2,capture
1.0,23,28.455283,2,capture
1.0,18,28.484156,2,capture
1.0,18,28.512973,2,capture
1.0,22,28.548135,2,capture
1.0,23,28.585477,2,capture
1.0,32,28.637162,2,capture
1.0,20,28.669017,2,capture
1.0,16,28.695258,2,capture
1.0,18,28.724465,2,capture
1.0,30,28.7732,2,capture
1.0,31,28.823938,2,capture
1.0,22,28.859788,2,capture
1.0,26,28.902457,2,capture
1.0,22,28.938735,2,capture
1.0,20,28.970887,2,capture
1.0,13,28.991688,2,capture
1.0,28,29.036751,2,capture
1.0,23,29.07443,2,capture
1.0,24,29.113197,2,capture
1.0,21,29.147461,2,capture
1.0,21,29.181441,2,capture
1.0,26,29.223276,2,capture
1.0,18,29.251975,2,capture
1.0,13,29.272959,2,capture
1.0,27,29.317898,2,capture
1.0,18,29.347502,2,capture
1.0,17,29.375141,2,capture
1.0,21,29.408877,2,capture
1.0,16,29.434803,2,capture
1.0,30,29.483451,2,capture
1.0,37,29.544713,2,capture
1.0,28,29.58992,2,capture
1.0,28,29.635545,2,capture
1.0,32,29.686945,2,capture
1.0,17,29.714077,2,capture
1.0,20,29.746624,2,capture
1.0,12,29.765841,2,capture
1.0,20,29.798272,2,capture
1.0,18,29.827032,2,capture
1.0,14,29.849693,2,capture
1.0,18,29.878283,2,capture
1.0,14,29.900466,2,capture
1.0,20,29.932451,2,capture
1.0,13,29.953496,2,capture
1.0,21,29.987086,2,capture
1.0,16,30.012675,2,capture
1.0,16,30.038368,2,capture
1.0,24,30.077149,2,capture
1.0,16,30.103102,2,capture
1.0,13,30.12401,2,capture
1.0,24,30.162672,2,capture
1.0,20,30.194952,2,capture
1.0,17,30.222652,2,capture
1.0,24,30.26333,2,capture
1.0,18,30.292197,2,capture
1.0,18,30.321917,2,capture
1.0,21,30.356096,2,capture
1.0,22,30.392125,2,capture
1.0,26,30.434724,2,capture
1.0,21,30.468577,2,capture
1.0,17,30.496127,2,capture
1.0,16,30.52168,2,capture
1.0,16,30.54775,2,capture
1.0,33,31.756863,2,capture
1.0,14,31.779195,2,capture
1.0,12,31.79837,2,capture
1.0,9,31.812859,2,capture
1.0,17,31.840302,2,capture
1.0,21,31.873976,2,capture
1.0,16,31.899509,2,capture
1.0,19,31.92993,2,capture
1.0,24,31.968471,2,capture
1.0,13,31.989218,2,capture
1.0,16,32.014711,2,capture
1.0,21,32.048319,2,capture
1.0,10,32.064303,2,capture
1.0,26,32.106115,2,capture
1.0,27,32.149755,2,capture
1.0,22,32.184821,2,capture
1.0,18,32.213559,2,capture
1.0,21,32.247029,2,capture
1.0,25,32.286995,2,capture
1.0,13,32.307629,2,capture
1.0,31,32.357686,2,capture
1.0,16,32.383304,2,capture
1.0,24,32.421722,2,capture
1.0,21,32.454983,2,capture
1.0,19,32.485349,2,capture
1.0,23,32.522197,2,capture
1.0,17,32.549425,2,capture
1.0,21,32.582947,2,capture
1.0,27,32.626298,2,capture
1.0,22,32.661419,2,capture
1.0,16,32.686884,2,capture
1.0,17,32.714305,2,capture
1.0,23,32.751245,2,capture
1.0,17,32.778238,2,capture
1.0,27,32.821628,2,capture
1.0,9,32.836308,2,capture
1.0,13,32.8571,2,capture
1.0,21,32.890756,2,capture
1.0,18,32.919433,2,capture
1.0,26,32.961253,2,capture
1.0,23,32.997939,2,capture
1.0,20,33.029835,2,capture
1.0,15,33.053783,2,capture
1.0,22,33.088773,2,capture
1.0,19,33.11913,2,capture
1.0,19,33.149386,2,capture
1.0,20,33.181357,2,capture
1.0,27,33.224906,2,capture
1.0,16,33.250414,2,capture
1.0,19,33.280761,2,capture
1.0,15,33.304667,2,capture
1.0,18,33.333575,2,capture
1.0,15,33.357623,2,capture
1.0,22,33.392792,2,capture
1.0,22,33.428024,2,capture
1.0,14,33.450342,2,capture
1.0,28,33.495361,2,capture
1.0,19,33.525512,2,capture
1.0,22,33.560925,2,capture
1.0,18,33.589646,2,capture
1.0,19,33.6199,2,capture
1.0,32,33.671525,2,capture
